=========================
ELE = He
A   = 4
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
8.2            5.82e-05       6.77e-06       6.77e-06       0.975          
8.3            5.96e-05       8.44e-06       8.44e-06       0.911          
8.4            6.19e-05       8.76e-06       8.76e-06       0.918          
8.5            6.41e-05       9.08e-06       9.08e-06       0.925          
8.6            6.63e-05       9.37e-06       9.37e-06       0.945          
8.7            6.85e-05       9.69e-06       9.69e-06       0.959          
8.8            7.06e-05       1e-05          1e-05          0.972          
8.9            7.28e-05       1.03e-05       1.03e-05       0.988          
9              7.5e-05        1.06e-05       1.06e-05       1              
9.1            7.7e-05        1.54e-05       1.54e-05       -1             
9.2            7.9e-05        1.58e-05       1.58e-05       -1             
9.3            8.1e-05        1.62e-05       1.62e-05       -1             
9.4            8.3e-05        1.66e-05       1.66e-05       -1             
9.5            8.5e-05        1.7e-05        1.7e-05        -1             
9.6            8.68e-05       1.74e-05       1.74e-05       -1             
9.7            8.86e-05       1.78e-05       1.78e-05       -1             
9.8            9.04e-05       1.82e-05       1.82e-05       -1             
9.9            9.22e-05       1.86e-05       1.86e-05       -1             
10             9.4e-05        1.9e-05        1.9e-05        -1             
END DATA
-------------------------

=========================
ELE = Be
A   = 9
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              1.88e-05       2.51e-06       2.51e-06       0.000136       
4.1            2.49e-05       1.14e-06       1.14e-06       5.35e-05       
4.2            2.79e-05       1.13e-06       1.13e-06       0.000532       
4.3            3.08e-05       1.09e-06       1.09e-06       0.00368        
4.4            3.38e-05       1.02e-06       1.02e-06       0.0206         
4.5            3.71e-05       1.01e-06       1.01e-06       0.0507         
4.6            4.05e-05       1e-06          1e-06          0.1            
4.7            4.4e-05        9.66e-07       9.66e-07       0.15           
4.8            4.76e-05       9.12e-07       9.12e-07       0.226          
4.9            5.16e-05       8.89e-07       8.89e-07       0.305          
5              3.04e-05       1.03e-05       1.03e-05       0              
5.1            4.51e-05       9.89e-06       9.87e-06       1.13e-197      
5.2            5.47e-05       8.02e-06       8e-06          1.03e-109      
5.3            6.27e-05       7.03e-06       7.01e-06       1.02e-69       
5.4            6.95e-05       6.26e-06       6.25e-06       5.37e-48       
5.5            7.56e-05       6.02e-06       6.02e-06       8.17e-35       
5.6            8.19e-05       5.63e-06       5.63e-06       2.59e-24       
5.7            8.89e-05       4.99e-06       4.99e-06       2.98e-18       
5.8            9.54e-05       4.49e-06       4.49e-06       3.93e-14       
5.9            0.000102       4.27e-06       4.27e-06       4.07e-11       
6              0.000108       4.13e-06       4.13e-06       5.19e-09       
6.1            0.000115       1.53e-06       1.53e-06       0.97           
6.2            0.000121       1.64e-06       1.64e-06       0.944          
6.3            0.000127       1.83e-06       1.83e-06       0.947          
6.4            0.000133       2e-06          2e-06          0.955          
6.5            0.000139       1.96e-06       1.96e-06       0.958          
6.6            0.000145       1.91e-06       1.91e-06       0.964          
6.7            0.00015        1.87e-06       1.87e-06       0.977          
6.8            0.000156       1.83e-06       1.83e-06       0.982          
6.9            0.000163       1.99e-06       1.99e-06       0.978          
7              9.76e-05       3.12e-05       3.12e-05       0              
7.1            0.000119       3.12e-05       3.12e-05       0              
7.2            0.000135       3.01e-05       3.01e-05       1.54e-267      
7.3            0.000152       2.82e-05       2.82e-05       2.83e-205      
7.4            0.000166       2.62e-05       2.61e-05       9.16e-161      
7.5            0.000179       2.43e-05       2.42e-05       3.28e-128      
7.6            0.000191       2.21e-05       2.2e-05        9.84e-101      
7.7            0.000201       2.09e-05       2.09e-05       4.58e-81       
7.8            0.000211       1.99e-05       1.98e-05       1.29e-66       
7.9            0.00022        1.9e-05        1.9e-05        9.98e-56       
