=========================
ELE = He
A   = 4
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4.9            3.1e-08        5.01e-09       5.01e-09       -1             
5              3.32e-08       5.27e-09       5.27e-09       -1             
5.1            3.53e-08       5.53e-09       5.53e-09       -1             
5.2            3.74e-08       5.8e-09        5.8e-09        -1             
5.3            4.58e-08       6.7e-09        6.7e-09        -1             
5.4            7.39e-08       9.62e-09       9.62e-09       -1             
5.5            1.02e-07       1.25e-08       1.25e-08       -1             
5.6            1.3e-07        1.55e-08       1.55e-08       -1             
5.7            1.58e-07       1.84e-08       1.84e-08       -1             
5.8            1.86e-07       2.13e-08       2.13e-08       -1             
5.9            2.15e-07       2.42e-08       2.42e-08       -1             
6              2.43e-07       2.72e-08       2.72e-08       -1             
6.1            2.73e-07       3.02e-08       3.02e-08       -1             
6.2            3.66e-07       3.57e-08       3.57e-08       -1             
6.3            4.6e-07        4.12e-08       4.12e-08       -1             
6.4            5.53e-07       4.66e-08       4.66e-08       -1             
6.5            7.17e-07       6.01e-08       6.01e-08       -1             
6.6            9.91e-07       8.59e-08       8.59e-08       -1             
6.7            1.27e-06       1.12e-07       1.12e-07       -1             
6.8            1.54e-06       1.38e-07       1.38e-07       -1             
6.9            1.81e-06       1.64e-07       1.64e-07       -1             
7              2.09e-06       1.89e-07       1.89e-07       -1             
7.1            2.61e-06       2.38e-07       2.38e-07       -1             
7.2            3.31e-06       3.03e-07       3.03e-07       -1             
7.3            4.01e-06       3.67e-07       3.67e-07       -1             
7.4            4.71e-06       4.32e-07       4.32e-07       -1             
7.5            5.41e-06       4.97e-07       4.97e-07       -1             
7.6            6.12e-06       5.61e-07       5.61e-07       -1             
7.7            6.82e-06       6.26e-07       6.26e-07       -1             
7.8            7.52e-06       6.91e-07       6.91e-07       -1             
7.9            8.22e-06       7.55e-07       7.55e-07       -1             
8              8.85e-06       8.24e-07       8.24e-07       -1             
8.1            9.35e-06       9e-07          9e-07          -1             
8.2            9.85e-06       9.76e-07       9.76e-07       -1             
8.3            1e-05          1e-06          1e-06          -1             
8.4            1e-05          1e-06          1e-06          -1             
8.5            1e-05          1e-06          1e-06          -1             
8.6            1e-05          1e-06          1e-06          -1             
8.7            1e-05          1e-06          1e-06          -1             
8.8            1.02e-05       1.07e-06       1.07e-06       -1             
8.9            1.1e-05        1.33e-06       1.33e-06       -1             
9              1.18e-05       1.59e-06       1.59e-06       -1             
9.1            1.25e-05       1.85e-06       1.85e-06       -1             
9.2            1.32e-05       2.09e-06       2.09e-06       -1             
9.3            1.36e-05       2.31e-06       2.31e-06       -1             
9.4            1.41e-05       2.53e-06       2.53e-06       -1             
9.5            1.45e-05       2.75e-06       2.75e-06       -1             
9.6            1.49e-05       2.97e-06       2.97e-06       -1             
9.7            1.53e-05       3e-06          3e-06          -1             
9.8            1.56e-05       3e-06          3e-06          -1             
9.9            1.59e-05       3e-06          3e-06          -1             
10             1.62e-05       3e-06          3e-06          -1             
END DATA
-------------------------

=========================
ELE = Sc
A   = 45
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              6e-11          5.84e-11       5.84e-11       -1             
4.1            1.12e-10       9.98e-11       9.98e-11       -1             
4.2            1.99e-10       1.46e-10       1.46e-10       -1             
4.3            3.44e-10       2.01e-10       2.01e-10       -1             
4.4            5.18e-10       2.7e-10        2.7e-10        -1             
4.5            7.96e-10       3.53e-10       3.53e-10       -1             
4.6            1.19e-09       4.48e-10       4.48e-10       -1             
4.7            1.78e-09       5.76e-10       5.76e-10       -1             
4.8            2.59e-09       7.08e-10       7.08e-10       -1             
4.9            3.75e-09       8.69e-10       8.69e-10       -1             
5              5.56e-09       1.13e-09       1.13e-09       -1             
5.1            8.02e-09       1.48e-09       1.48e-09       -1             
5.2            1.12e-08       1.93e-09       1.93e-09       -1             
5.3            1.55e-08       2.52e-09       2.52e-09       -1             
5.4            2.14e-08       3.38e-09       3.38e-09       -1             
5.5            2.85e-08       4.34e-09       4.34e-09       -1             
5.6            3.79e-08       5.68e-09       5.68e-09       -1             
5.7            4.92e-08       7.28e-09       7.28e-09       -1             
5.8            6.57e-08       9.76e-09       9.76e-09       -1             
5.9            8.64e-08       1.28e-08       1.28e-08       -1             
6              1.12e-07       1.64e-08       1.64e-08       -1             
6.1            1.44e-07       2.08e-08       2.08e-08       -1             
6.2            1.85e-07       2.66e-08       2.66e-08       -1             
6.3            2.36e-07       3.36e-08       3.36e-08       -1             
6.4            2.38e-08       5.22e-08       2.28e-08       5.64e-11       
6.5            2.14e-07       1.39e-07       1.38e-07       6.83e-05       
6.6            3.53e-07       1.36e-07       1.36e-07       0.00783        
6.7            4.75e-07       1.32e-07       1.32e-07       0.0454         
6.8            6.12e-07       1.29e-07       1.29e-07       0.113          
6.9            7.53e-07       1.31e-07       1.31e-07       0.178          
7              9.9e-07        7.9e-08        7.9e-08        0.455          
7.1            1.43e-06       3.25e-07       3.25e-07       0.000639       
7.2            1.75e-06       5.41e-07       5.41e-07       3.03e-06       
7.3            2.05e-06       7.3e-07        7.3e-07        9.63e-08       
7.4            2.38e-06       9.21e-07       9.21e-07       9.38e-09       
7.5            2.79e-06       1.11e-06       1.11e-06       5.31e-09       
7.6            3.23e-06       1.3e-06        1.3e-06        4.18e-09       
7.7            3.7e-06        1.49e-06       1.49e-06       3.76e-09       
7.8            4.23e-06       1.67e-06       1.67e-06       5.08e-09       
7.9            4.79e-06       1.87e-06       1.87e-06       5.8e-09        
8              5.43e-06       2.08e-06       2.08e-06       1.2e-08        
8.1            6.14e-06       2.29e-06       2.29e-06       2.44e-08       
8.2            6.9e-06        2.49e-06       2.49e-06       6.12e-08       
8.3            7.69e-06       2.69e-06       2.69e-06       1.24e-07       
8.4            8.41e-06       2.86e-06       2.86e-06       3.42e-07       
8.5            9.31e-06       3.05e-06       3.05e-06       1.18e-06       
8.6            1.03e-05       3.25e-06       3.25e-06       2.83e-06       
8.7            1.13e-05       3.42e-06       3.42e-06       8.12e-06       
8.8            1.24e-05       3.63e-06       3.63e-06       1.35e-05       
8.9            1.34e-05       3.79e-06       3.79e-06       2.79e-05       
9              1.46e-05       4e-06          4e-06          4.63e-05       
9.1            1.59e-05       4.21e-06       4.21e-06       7.31e-05       
9.2            1.71e-05       4.39e-06       4.39e-06       0.000119       
9.3            1.84e-05       4.6e-06        4.6e-06        0.000181       
9.4            1.99e-05       4.83e-06       4.83e-06       0.000243       
9.5            2.13e-05       5.01e-06       5.01e-06       0.000382       
9.6            2.29e-05       5.23e-06       5.23e-06       0.000506       
9.7            2.45e-05       5.41e-06       5.41e-06       0.000737       
9.8            2.61e-05       5.56e-06       5.56e-06       0.00113        
9.9            2.77e-05       5.71e-06       5.71e-06       0.00164        
10             3.41e-05       9.27e-06       9.27e-06       0.0054         
END DATA
-------------------------

=========================
ELE = Ti
A   = 46
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              -1             -1             -1             -1             
4.1            -1             -1             -1             -1             
4.2            -1             -1             -1             -1             
4.3            -1             -1             -1             -1             
4.4            -1             -1             -1             -1             
4.5            -1             -1             -1             -1             
4.6            -1             -1             -1             -1             
4.7            -1             -1             -1             -1             
4.8            -1             -1             -1             -1             
4.9            -1             -1             -1             -1             
5              7.74e-11       1.26e-11       1.26e-11       -1             
5.1            2.81e-10       4.61e-11       4.61e-11       -1             
5.2            6.27e-10       1.03e-10       1.03e-10       -1             
5.3            1.25e-09       1.99e-10       1.99e-10       -1             
5.4            2.22e-09       2.45e-10       2.45e-10       0.625          
5.5            4.16e-09       4.82e-10       4.82e-10       0.368          
5.6            6.44e-09       7.43e-10       7.43e-10       0.372          
5.7            9.38e-09       1.06e-09       1.06e-09       0.688          
5.8            1.33e-08       1.53e-09       1.53e-09       0.896          
5.9            6.25e-10       1.71e-09       6.09e-10       1.75e-17       
6              1.49e-08       7.98e-09       7.98e-09       2.84e-07       
6.1            2.53e-08       8.72e-09       8.72e-09       0.000309       
6.2            2.71e-08       4.95e-09       4.95e-09       0.0272         
6.3            4.13e-08       6.45e-09       6.45e-09       0.0646         
6.4            5.64e-08       8.91e-09       8.91e-09       0.0478         
6.5            7.59e-08       9.06e-09       9.06e-09       0.209          
6.6            1.02e-07       1.27e-08       1.27e-08       0.248          
6.7            1.37e-07       2.09e-08       2.09e-08       0.165          
6.8            1.75e-07       2.87e-08       2.87e-08       0.123          
6.9            2.16e-07       3.79e-08       3.79e-08       0.0692         
7              3.2e-07        4.32e-08       4.32e-08       0.0203         
7.1            4.65e-07       1.09e-07       1.09e-07       5.33e-06       
7.2            5.65e-07       1.58e-07       1.58e-07       2.77e-08       
7.3            6.82e-07       2.05e-07       2.05e-07       2.04e-09       
7.4            8e-07          2.52e-07       2.52e-07       2.49e-10       
7.5            9.6e-07        2.99e-07       2.99e-07       4.86e-10       
7.6            1.12e-06       3.46e-07       3.46e-07       7.07e-10       
7.7            1.29e-06       3.88e-07       3.88e-07       9.59e-10       
7.8            1.46e-06       4.37e-07       4.37e-07       1.24e-09       
7.9            1.63e-06       4.86e-07       4.86e-07       1.36e-09       
8              1.91e-06       5.54e-07       5.54e-07       5.25e-09       
8.1            2.28e-06       6.4e-07        6.4e-07        3.14e-08       
8.2            2.64e-06       7.15e-07       7.15e-07       1.08e-07       
8.3            2.98e-06       7.77e-07       7.77e-07       3.09e-07       
8.4            3.27e-06       8.16e-07       8.16e-07       1.39e-06       
8.5            3.62e-06       8.56e-07       8.56e-07       6.57e-06       
8.6            3.98e-06       9.06e-07       9.06e-07       2.02e-05       
8.7            4.35e-06       9.58e-07       9.58e-07       4.01e-05       
8.8            4.86e-06       1.02e-06       1.02e-06       9.75e-05       
8.9            5.64e-06       1.14e-06       1.14e-06       0.000172       
9              6.03e-06       1.16e-06       1.16e-06       0.000398       
9.1            6.29e-06       1.22e-06       1.22e-06       0.000365       
9.2            6.71e-06       1.31e-06       1.31e-06       0.000413       
9.3            7.5e-06        1.4e-06        1.4e-06        0.000879       
9.4            8.27e-06       1.49e-06       1.49e-06       0.00143        
9.5            9.07e-06       1.55e-06       1.55e-06       0.00276        
9.6            9.93e-06       1.63e-06       1.63e-06       0.00404        
9.7            1.08e-05       1.67e-06       1.67e-06       0.00692        
9.8            1.16e-05       1.7e-06        1.7e-06        0.0112         
9.9            1.25e-05       1.7e-06        1.7e-06        0.0183         
10             1.34e-05       1.7e-06        1.7e-06        0.0272         
END DATA
-------------------------

=========================
ELE = Ti
A   = 48
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              -1             -1             -1             -1             
4.1            -1             -1             -1             -1             
4.2            -1             -1             -1             -1             
4.3            -1             -1             -1             -1             
4.4            -1             -1             -1             -1             
4.5            -1             -1             -1             -1             
4.6            -1             -1             -1             -1             
4.7            -1             -1             -1             -1             
4.8            -1             -1             -1             -1             
4.9            9.21e-08       4.96e-07       4.96e-07       -1             
5              1.88e-10       1.88e-10       1.88e-10       0.318          
5.1            1.28e-09       8.54e-10       8.36e-10       0.521          
5.2            3.36e-09       1.65e-09       1.63e-09       0.549          
5.3            6.48e-09       2.57e-09       2.57e-09       0.545          
5.4            1.08e-08       3.55e-09       3.55e-09       0.526          
5.5            1.54e-08       4.65e-09       4.65e-09       0.55           
5.6            2.08e-08       5.64e-09       5.64e-09       0.558          
5.7            2.83e-08       6.57e-09       6.57e-09       0.485          
5.8            3.72e-08       7.24e-09       7.24e-09       0.385          
5.9            4.65e-08       8.05e-09       8.05e-09       0.337          
6              6.63e-08       1.11e-08       1.11e-08       0.0477         
6.1            1.08e-07       2.9e-08        2.9e-08        0.0174         
6.2            1.52e-07       3.23e-08       3.23e-08       0.0419         
6.3            1.98e-07       4.03e-08       4.03e-08       0.0469         
6.4            2.5e-07        4.89e-08       4.89e-08       0.0531         
6.5            3.08e-07       5.72e-08       5.72e-08       0.0626         
6.6            3.55e-07       7.26e-08       7.26e-08       0.0176         
6.7            4.42e-07       8.36e-08       8.36e-08       0.0252         
6.8            5.38e-07       9.33e-08       9.33e-08       0.0338         
6.9            6.49e-07       1.01e-07       1.01e-07       0.0449         
7              7.78e-07       1.08e-07       1.08e-07       0.0612         
7.1            9.51e-07       1.37e-07       1.37e-07       0.0447         
7.2            9.45e-07       1.43e-07       1.43e-07       0.00182        
7.3            1.41e-06       1.51e-07       1.51e-07       0.0569         
7.4            1.73e-06       2.12e-07       2.12e-07       0.0126         
7.5            2.05e-06       2.78e-07       2.78e-07       0.00253        
7.6            2.38e-06       3.45e-07       3.45e-07       0.000562       
7.7            2.72e-06       4.06e-07       4.06e-07       0.000207       
7.8            3.08e-06       4.68e-07       4.68e-07       8.35e-05       
7.9            3.46e-06       5.25e-07       5.25e-07       4.72e-05       
8              3.92e-06       5.96e-07       5.95e-07       2.28e-05       
8.1            4.58e-06       7.18e-07       7.15e-07       1.37e-05       
8.2            5.27e-06       8.27e-07       8.22e-07       9.71e-06       
8.3            5.98e-06       9.37e-07       9.3e-07        7.59e-06       
8.4            6.75e-06       1.05e-06       1.04e-06       6.95e-06       
8.5            7.55e-06       1.14e-06       1.14e-06       8.24e-06       
8.6            8.43e-06       1.25e-06       1.25e-06       7.21e-06       
8.7            9.27e-06       1.34e-06       1.34e-06       1.29e-05       
8.8            1.01e-05       1.38e-06       1.38e-06       4.72e-05       
8.9            1.07e-05       1.36e-06       1.36e-06       0.000336       
9              1.16e-05       1.4e-06        1.4e-06        0.000656       
9.1            1.27e-05       1.46e-06       1.46e-06       0.00112        
9.2            1.39e-05       1.53e-06       1.53e-06       0.00151        
9.3            1.52e-05       1.63e-06       1.63e-06       0.00203        
9.4            1.65e-05       1.74e-06       1.74e-06       0.00231        
9.5            1.78e-05       1.86e-06       1.86e-06       0.00259        
9.6            1.96e-05       2.51e-06       2.51e-06       0.00143        
9.7            2.1e-05        2.65e-06       2.65e-06       0.00158        
9.8            2.22e-05       2.75e-06       2.75e-06       0.00213        
9.9            2.35e-05       2.79e-06       2.79e-06       0.00354        
10             2.54e-05       2.65e-06       2.65e-06       0.00345        
END DATA
-------------------------

=========================
ELE = Ti
A   = 0
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              -1             -1             -1             -1             
4.1            -1             -1             -1             -1             
4.2            -1             -1             -1             -1             
4.3            -1             -1             -1             -1             
4.4            -1             -1             -1             -1             
4.5            -1             -1             -1             -1             
4.6            -1             -1             -1             -1             
4.7            -1             -1             -1             -1             
4.8            -1             -1             -1             -1             
4.9            -1             -1             -1             -1             
5              -1             -1             -1             -1             
5.1            -1             -1             -1             -1             
5.2            -1             -1             -1             -1             
5.3            1.05e-08       2.62e-09       2.62e-09       -1             
5.4            2.29e-08       5.73e-09       5.73e-09       -1             
5.5            3.54e-08       8.84e-09       8.84e-09       -1             
5.6            4.78e-08       1.19e-08       1.19e-08       -1             
5.7            6.02e-08       1.51e-08       1.51e-08       -1             
5.8            7.26e-08       1.82e-08       1.82e-08       -1             
5.9            8.51e-08       2.13e-08       2.13e-08       -1             
6              9.75e-08       2.44e-08       2.44e-08       -1             
6.1            1.79e-07       4.48e-08       4.48e-08       -1             
6.2            2.61e-07       6.52e-08       6.52e-08       -1             
6.3            3.42e-07       8.55e-08       8.55e-08       -1             
6.4            4.24e-07       1.06e-07       1.06e-07       -1             
6.5            5.05e-07       1.26e-07       1.26e-07       -1             
6.6            5.87e-07       1.47e-07       1.47e-07       -1             
6.7            6.68e-07       1.67e-07       1.67e-07       -1             
6.8            7.5e-07        1.88e-07       1.88e-07       -1             
6.9            1.04e-06       2.6e-07        2.6e-07        -1             
7              1.33e-06       3.33e-07       3.33e-07       -1             
7.1            1.62e-06       4.06e-07       4.06e-07       -1             
7.2            1.92e-06       4.79e-07       4.79e-07       -1             
7.3            2.21e-06       5.52e-07       5.52e-07       -1             
7.4            2.5e-06        6.25e-07       6.25e-07       -1             
7.5            2.79e-06       6.98e-07       6.98e-07       -1             
7.6            3.08e-06       7.71e-07       7.71e-07       -1             
7.7            3.37e-06       8.44e-07       8.44e-07       -1             
7.8            4.28e-06       1.07e-06       1.07e-06       -1             
7.9            5.19e-06       1.3e-06        1.3e-06        -1             
8              6.1e-06        1.52e-06       1.52e-06       -1             
8.1            7e-06          1.75e-06       1.75e-06       -1             
8.2            7.91e-06       1.98e-06       1.98e-06       -1             
8.3            8.82e-06       2.2e-06        2.2e-06        -1             
8.4            9.72e-06       2.43e-06       2.43e-06       -1             
8.5            1.06e-05       2.66e-06       2.66e-06       -1             
8.6            1.15e-05       2.88e-06       2.88e-06       -1             
8.7            1.24e-05       3.11e-06       3.11e-06       -1             
8.8            1.34e-05       3.34e-06       3.34e-06       -1             
8.9            -1             -1             -1             -1             
9              -1             -1             -1             -1             
9.1            -1             -1             -1             -1             
9.2            -1             -1             -1             -1             
9.3            -1             -1             -1             -1             
9.4            -1             -1             -1             -1             
9.5            -1             -1             -1             -1             
9.6            -1             -1             -1             -1             
9.7            -1             -1             -1             -1             
9.8            -1             -1             -1             -1             
9.9            -1             -1             -1             -1             
10             -1             -1             -1             -1             
END DATA
-------------------------

=========================
ELE = V
A   = 51
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              5.89e-12       5e-12          5e-12          -1             
4.1            3.78e-11       2.16e-11       2.16e-11       -1             
4.2            7.25e-11       4.55e-11       4.55e-11       -1             
4.3            1.3e-10        7.53e-11       7.53e-11       -1             
4.4            2.23e-10       1.1e-10        1.1e-10        -1             
4.5            3.1e-10        1.45e-10       1.45e-10       -1             
4.6            0              4.58e-08       4.58e-08       -1             
4.7            0              5.12e-07       5.12e-07       -1             
4.8            0              9.91e-07       9.91e-07       -1             
4.9            0              1.48e-06       1.48e-06       -1             
5              0              1.99e-06       1.99e-06       -1             
5.1            0              2.52e-06       2.52e-06       -1             
5.2            0              3.05e-06       3.05e-06       -1             
5.3            0              3.6e-06        3.6e-06        -1             
5.4            7.21e-09       1.01e-09       1.01e-09       0.909          
5.5            1.03e-08       1.46e-09       1.46e-09       0.726          
5.6            1.44e-08       2.08e-09       2.08e-09       0.702          
5.7            1.91e-08       2.77e-09       2.77e-09       0.873          
5.8            2.42e-08       3.49e-09       3.49e-09       0.935          
5.9            3.1e-08        5.06e-09       5.06e-09       0.85           
6              3.85e-08       6.53e-09       6.53e-09       0.661          
6.1            4.64e-08       8.09e-09       8.09e-09       0.801          
6.2            7.2e-08        1.04e-08       1.04e-08       0.895          
6.3            1.07e-07       1.24e-08       1.24e-08       0.716          
6.4            1.43e-07       1.46e-08       1.46e-08       0.611          
6.5            1.8e-07        1.68e-08       1.68e-08       0.57           
6.6            2.46e-07       2.39e-08       2.39e-08       0.279          
6.7            3.45e-07       4.36e-08       4.36e-08       0.0622         
6.8            4.38e-07       6.64e-08       6.64e-08       0.0111         
6.9            2.6e-07        1.27e-07       1.27e-07       5.63e-20       
7              5.48e-07       1.24e-07       1.24e-07       9.67e-07       
7.1            8.01e-07       1.47e-07       1.47e-07       0.00203        
7.2            1.04e-06       8.85e-08       8.85e-08       0.0417         
7.3            1.42e-06       9.27e-08       9.27e-08       0.00548        
7.4            1.73e-06       7.63e-08       7.63e-08       0.000316       
7.5            2.05e-06       5.62e-08       5.62e-08       0.000339       
7.6            2.59e-06       2.04e-07       2.04e-07       0.000223       
7.7            3.16e-06       3.41e-07       3.41e-07       0.000229       
7.8            3.72e-06       4.48e-07       4.48e-07       0.000228       
7.9            4.31e-06       5.68e-07       5.68e-07       0.000191       
8              4.96e-06       6.88e-07       6.88e-07       0.000197       
8.1            5.61e-06       8.11e-07       8.11e-07       0.000188       
8.2            6.34e-06       9.22e-07       9.22e-07       0.000211       
8.3            7.33e-06       1e-06          1e-06          0.000379       
8.4            8.33e-06       1.09e-06       1.09e-06       0.000559       
8.5            9.35e-06       1.18e-06       1.18e-06       0.000811       
8.6            1.04e-05       1.27e-06       1.27e-06       0.000925       
8.7            1.14e-05       1.34e-06       1.34e-06       0.00143        
8.8            1.24e-05       1.43e-06       1.42e-06       0.00182        
8.9            1.34e-05       1.51e-06       1.51e-06       0.00219        
9              1.49e-05       1.59e-06       1.58e-06       0.00428        
9.1            1.7e-05        1.69e-06       1.69e-06       0.01           
9.2            1.9e-05        1.81e-06       1.81e-06       0.0155         
9.3            2.1e-05        1.96e-06       1.96e-06       0.0177         
9.4            2.29e-05       2.12e-06       2.12e-06       0.0175         
9.5            2.48e-05       2.31e-06       2.31e-06       0.0158         
9.6            2.67e-05       2.5e-06        2.5e-06        0.0136         
9.7            2.85e-05       2.72e-06       2.72e-06       0.011          
9.8            3.03e-05       2.94e-06       2.94e-06       0.00837        
9.9            2.68e-06       1.57e-06       1.57e-06       5.78e-59       
10             6.37e-06       2.78e-06       2.78e-06       2.08e-51       
END DATA
-------------------------

=========================
ELE = Cr
A   = 50
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              -1             -1             -1             -1             
4.1            -1             -1             -1             -1             
4.2            -1             -1             -1             -1             
4.3            -1             -1             -1             -1             
4.4            -1             -1             -1             -1             
4.5            -1             -1             -1             -1             
4.6            -1             -1             -1             -1             
4.7            -1             -1             -1             -1             
4.8            -1             -1             -1             -1             
4.9            -1             -1             -1             -1             
5              -1             -1             -1             -1             
5.1            -1             -1             -1             -1             
5.2            -1             -1             -1             -1             
5.3            -1             -1             -1             -1             
5.4            -1             -1             -1             -1             
5.5            2.03e-11       1.01e-11       1.01e-11       -1             
5.6            9.32e-11       2.43e-11       2.43e-11       -1             
5.7            1.83e-10       4.5e-11        4.5e-11        -1             
5.8            4.5e-10        2.02e-10       2.02e-10       0.00179        
5.9            5.94e-10       2.76e-10       2.76e-10       0.000253       
6              1.03e-09       3.65e-10       3.58e-10       0.00301        
6.1            1.47e-09       5.53e-10       5.53e-10       0.000417       
6.2            2.46e-09       7.52e-10       7.52e-10       0.00269        
6.3            4.84e-09       6.03e-10       6.03e-10       0.306          
6.4            7.45e-09       8.49e-10       8.49e-10       0.941          
6.5            1.01e-08       1.22e-09       1.22e-09       0.719          
6.6            1.59e-08       1.84e-09       1.84e-09       0.984          
6.7            2.44e-08       2.68e-09       2.68e-09       0.4            
6.8            3.35e-08       4.62e-09       4.62e-09       0.194          
6.9            4.48e-08       5.91e-09       5.91e-09       0.207          
7              5.73e-08       6.99e-09       6.99e-09       0.264          
7.1            7.17e-08       7.55e-09       7.55e-09       0.381          
7.2            8.95e-08       9.25e-09       9.25e-09       0.67           
7.3            1.08e-07       1.1e-08        1.1e-08        0.892          
7.4            1.31e-07       1.15e-08       1.15e-08       0.934          
7.5            1.62e-07       2.44e-08       2.44e-08       0.0398         
7.6            2.11e-07       3.85e-08       3.85e-08       0.00699        
7.7            2.64e-07       5.34e-08       5.34e-08       0.00183        
7.8            3.22e-07       6.99e-08       6.99e-08       0.000503       
7.9            3.82e-07       8.8e-08        8.8e-08        0.000148       
8              4.51e-07       3.99e-08       -3.99e-08      4.26e-05       
8.1            5.23e-07       1.33e-07       1.33e-07       1.59e-05       
8.2            6.13e-07       1.62e-07       1.62e-07       4.81e-06       
8.3            7.54e-07       1.98e-07       1.98e-07       4.41e-06       
8.4            9.07e-07       2.28e-07       2.28e-07       5.1e-06        
8.5            1.07e-06       2.66e-07       2.66e-07       3.9e-06        
8.6            1.25e-06       3.04e-07       3.04e-07       3.07e-06       
8.7            1.44e-06       3.45e-07       3.45e-07       2.1e-06        
8.8            1.63e-06       3.9e-07        3.9e-07        1.14e-06       
8.9            1.82e-06       4.22e-07       4.22e-07       2.12e-06       
9              2.11e-06       4.59e-07       4.59e-07       1.16e-05       
9.1            2.42e-06       4.91e-07       4.91e-07       5.43e-05       
9.2            2.74e-06       5.21e-07       5.21e-07       0.000181       
9.3            3.05e-06       5.45e-07       5.45e-07       0.000517       
9.4            3.37e-06       5.68e-07       5.68e-07       0.00122        
9.5            3.69e-06       5.85e-07       5.85e-07       0.00285        
9.6            4.01e-06       6e-07          6e-07          0.00586        
9.7            4.35e-06       6.13e-07       6.13e-07       0.0109         
9.8            4.69e-06       6.21e-07       6.21e-07       0.0196         
9.9            5.03e-06       6.25e-07       6.25e-07       0.0332         
10             5.77e-06       7.81e-07       7.81e-07       0.0635         
END DATA
-------------------------

=========================
ELE = Mn
A   = 55
BEGIN DATA
Ealpha [MeV]   Yield [n/s/Bq] +sigma         -sigma         p-value        
4              -1             -1             -1             -1             
4.1            -1             -1             -1             -1             
4.2            -1             -1             -1             -1             
4.3            -1             -1             -1             -1             
4.4            -1             -1             -1             -1             
4.5            -1             -1             -1             -1             
4.6            -1             -1             -1             -1             
4.7            -1             -1             -1             -1             
4.8            -1             -1             -1             -1             
4.9            -1             -1             -1             -1             
5              -1             -1             -1             -1             
5.1            0              1.8e-06        1.8e-06        -1             
5.2            0              2.24e-06       2.24e-06       -1             
5.3            0              2.7e-06        2.7e-06        -1             
5.4            1.19e-09       2.59e-10       2.59e-10       0.237          
5.5            2.23e-09       3.93e-10       3.93e-10       0.0657         
5.6            3.34e-09       3.28e-10       3.28e-10       0.0709         
5.7            4.41e-09       1.84e-10       1.84e-10       0.185          
5.8            5.78e-09       1.81e-10       1.81e-10       0.384          
5.9            8.76e-09       8.92e-10       8.92e-10       0.174          
6              1.18e-08       1.21e-09       1.21e-09       0.257          
6.1            1.53e-08       1.5e-09        1.5e-09        0.527          
6.2            2.32e-08       3.2e-09        3.2e-09        0.14           
6.3            3.32e-08       5.91e-09       5.91e-09       0.0473         
6.4            4.42e-08       7.69e-09       7.69e-09       0.0467         
6.5            5.7e-08        8.01e-09       8.01e-09       0.0992         
6.6            7.91e-08       1.33e-08       1.33e-08       0.0312         
6.7            1.14e-07       2.62e-08       2.62e-08       0.000915       
6.8            1.53e-07       3.65e-08       3.65e-08       0.000198       
6.9            1.97e-07       3.08e-08       3.08e-08       0.00113        
7              2.43e-07       3.35e-08       3.35e-08       0.00338        
7.1            2.9e-07        2.9e-08        2.9e-08        0.0229         
7.2            3.56e-07       3.67e-08       3.67e-08       0.0364         
7.3            4.4e-07        5.13e-08       5.13e-08       0.0322         
7.4            5.36e-07       4.86e-08       4.86e-08       0.0914         
7.5            6.82e-07       9.34e-08       9.34e-08       0.002          
7.6            8.72e-07       1.5e-07        1.5e-07        2.65e-05       
7.7            1.07e-06       2.03e-07       2.03e-07       2.31e-06       
7.8            1.29e-06       2.55e-07       2.55e-07       5.17e-07       
7.9            1.52e-06       3.07e-07       3.06e-07       2.14e-07       
8              1.78e-06       3.57e-07       3.56e-07       2e-07          
8.1            2.05e-06       4.08e-07       4.06e-07       1.86e-07       
8.2            2.38e-06       4.63e-07       4.61e-07       1.85e-07       
8.3            2.88e-06       5.36e-07       5.35e-07       1.02e-07       
8.4            3.41e-06       6.08e-07       6.07e-07       7.72e-08       
8.5            3.96e-06       6.75e-07       6.74e-07       8.77e-08       
8.6            4.55e-06       7.37e-07       7.37e-07       1.45e-07       
8.7            5.15e-06       7.92e-07       7.92e-07       2.94e-07       
8.8            5.78e-06       8.51e-07       8.51e-07       4.95e-07       
8.9            6.38e-06       8.8e-07        8.8e-07        2.41e-06       
9              7.22e-06       9.75e-07       9.75e-07       7.43e-06       
9.1            8.33e-06       1.17e-06       1.17e-06       1.07e-05       
9.2            9.41e-06       1.35e-06       1.35e-06       1.39e-05       
9.3            1.05e-05       1.51e-06       1.51e-06       1.88e-05       
9.4            1.12e-05       1.76e-06       1.76e-06       3.96e-07       
9.5            1.23e-05       1.88e-06       1.88e-06       1.43e-06       
9.6            1.35e-05       2e-06          2e-06          3.92e-06       
9.7            1.47e-05       2.1e-06        2.1e-06        1.21e-05       
